Interval=	0.0005 s
ExcelDateTime=	4.5061542330543212e+004	5/15/2023 13:00:57.358933
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1	Channel 2
Range=	10.000 mV	10.000 V
0.3105	-0.103	-0.000
0.311	-0.069	-0.000
0.3115	-0.015	-0.000
0.312	0.057	-0.000
0.3125	0.154	-0.000
0.313	0.263	-0.000
0.3135	0.399	-0.000
0.314	0.623	-0.000
0.3145	0.872	-0.000
0.315	1.134	-0.000
0.3155	1.458	-0.000
0.316	1.817	-0.000
0.3165	2.209	-0.000
0.317	2.619	-0.000
0.3175	3.019	-0.000
0.318	3.382	-0.000
0.3185	3.686	-0.000
0.319	3.934	-0.000
0.3195	4.139	-0.000
0.32	4.301	-0.000
0.3205	4.399	-0.000
0.321	4.418	-0.000
0.3215	4.356	-0.000
0.322	4.217	-0.000
0.3225	4.021	-0.000
0.323	3.784	-0.000
0.3235	3.503	-0.000
0.324	3.184	-0.000
0.3245	2.847	-0.000
0.325	2.529	-0.000
0.3255	2.268	-0.000
0.326	2.076	-0.000
0.3265	1.948	-0.000
0.327	1.883	-0.000
0.3275	1.881	-0.000
0.328	1.932	-0.000
0.3285	2.030	-0.000
0.329	2.165	-0.000
0.3295	2.332	-0.000
0.33	2.523	-0.000
0.3305	2.699	-0.000
0.331	2.817	-0.000
0.3315	2.869	-0.000
0.332	2.861	-0.000
0.3325	2.763	-0.000
0.333	2.525	-0.000
0.3335	2.163	-0.000
0.334	1.735	-0.000
0.3345	1.268	-0.000
0.335	0.840	-0.000
0.3355	0.525	-0.000
0.336	0.342	-0.000
0.3365	0.296	-0.000
0.337	0.359	-0.000
0.3375	0.502	-0.000
0.338	0.699	-0.000
0.3385	0.933	-0.000
0.339	1.184	-0.000
0.3395	1.397	-0.000
0.34	1.524	-0.000
0.3405	1.556	-0.000
0.341	1.505	-0.000
0.3415	1.401	-0.000
0.342	1.275	-0.000
0.3425	1.138	-0.000
0.343	0.999	-0.000
0.3435	0.858	-0.000
0.344	0.709	-0.000
0.3445	0.564	-0.000
0.345	0.446	-0.000
0.3455	0.358	-0.000
0.346	0.305	-0.000
0.3465	0.302	-0.000
0.347	0.355	-0.000
0.3475	0.459	-0.000
0.348	0.601	-0.000
0.3485	0.766	-0.000
0.349	0.937	-0.000
0.3495	1.099	-0.000
0.35	1.254	-0.000
0.3505	1.414	-0.000
0.351	1.579	-0.000
0.3515	1.743	-0.000
0.352	1.907	-0.000
0.3525	2.056	-0.000
0.353	2.165	-0.000
0.3535	2.241	-0.000
0.354	2.271	-0.000
0.3545	2.273	-0.000
0.355	2.277	-0.000
0.3555	2.290	-0.000
0.356	2.322	-0.000
0.3565	2.365	-0.000
0.357	2.415	-0.000
0.3575	2.467	-0.000
0.358	2.524	-0.000
0.3585	2.588	-0.000
0.359	2.656	-0.000
0.3595	2.718	-0.000
0.36	2.759	-0.000
0.3605	2.771	-0.000
0.361	2.747	-0.000
0.3615	2.682	-0.000
0.362	2.577	-0.000
0.3625	2.443	-0.000
0.363	2.298	-0.000
0.3635	2.152	-0.000
0.364	2.006	-0.000
0.3645	1.860	-0.000
0.365	1.718	-0.000
0.3655	1.583	-0.000
0.366	1.461	-0.000
0.3665	1.352	-0.000
0.367	1.255	-0.000
0.3675	1.166	-0.000
0.368	1.075	-0.000
0.3685	0.966	-0.000
0.369	0.835	-0.000
0.3695	0.686	-0.000
0.37	0.525	-0.000
0.3705	0.353	-0.000
0.371	0.167	-0.000
0.3715	-0.034	-0.000
0.372	-0.226	-0.000
0.3725	-0.369	-0.000
0.373	-0.446	-0.000
0.3735	-0.447	-0.000
0.374	-0.384	-0.000
0.3745	-0.286	-0.000
0.375	-0.142	-0.000
0.3755	0.053	-0.000
0.376	0.291	-0.000
0.3765	0.568	-0.000
0.377	0.876	-0.000
0.3775	1.198	-0.000
0.378	1.501	-0.000
0.3785	1.753	-0.000
0.379	1.937	-0.000
0.3795	2.067	-0.000
0.38	2.167	-0.000
0.3805	2.244	-0.000
0.381	2.287	-0.000
0.3815	2.278	-0.000
0.382	2.209	-0.000
0.3825	2.100	-0.000
0.383	1.970	-0.000
0.3835	1.813	-0.000
0.384	1.621	-0.000
0.3845	1.408	-0.000
0.385	1.205	-0.000
0.3855	1.037	-0.000
0.386	0.911	-0.000
0.3865	0.827	-0.000
0.387	0.781	-0.000
0.3875	0.756	-0.000
0.388	0.719	-0.000
0.3885	0.639	-0.000
0.389	0.507	-0.000
0.3895	0.320	-0.000
0.39	0.077	-0.000
0.3905	-0.208	-0.000
0.391	-0.520	-0.000
0.3915	-0.851	-0.000
0.392	-1.180	-0.000
0.3925	-1.489	-0.000
0.393	-1.785	-0.000
0.3935	-2.065	-0.000
0.394	-2.348	-0.000
0.3945	-2.721	-0.000
0.395	-3.195	-0.000
0.3955	-3.721	-0.000
0.396	-4.252	-0.000
0.3965	-4.738	-0.000
0.397	-5.138	-0.000
0.3975	-5.424	-0.000
0.398	-5.592	-0.000
0.3985	-5.660	-0.000
0.399	-5.642	-0.000
0.3995	-5.564	-0.000
0.4	-5.482	-0.000
0.4005	-5.444	-0.000
0.401	-5.443	-0.000
0.4015	-5.431	-0.000
