Interval=	0.0005 s
ExcelDateTime=	4.5061542499698298e+004	5/15/2023 13:01:11.973933
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1
Range=	10.000 mV
14.9125	0.016
14.913	0.062
14.9135	0.125
14.914	0.196
14.9145	0.264
14.915	0.315
14.9155	0.343
14.916	0.354
14.9165	0.352
14.917	0.345
14.9175	0.334
14.918	0.320
14.9185	0.300
14.919	0.278
14.9195	0.257
14.92	0.244
14.9205	0.240
14.921	0.243
14.9215	0.250
14.922	0.258
14.9225	0.263
14.923	0.257
14.9235	0.236
14.924	0.199
14.9245	0.150
14.925	0.085
14.9255	0.013
14.926	-0.048
14.9265	-0.107
14.927	-0.158
14.9275	-0.197
14.928	-0.223
14.9285	-0.233
14.929	-0.230
14.9295	-0.225
14.93	-0.224
14.9305	-0.227
14.931	-0.234
14.9315	-0.243
14.932	-0.252
14.9325	-0.256
14.933	-0.252
14.9335	-0.235
14.934	-0.205
14.9345	-0.171
14.935	-0.143
14.9355	-0.124
14.936	-0.110
14.9365	-0.093
14.937	-0.076
14.9375	-0.054
14.938	-0.031
14.9385	-0.015
14.939	-0.014
14.9395	-0.037
14.94	-0.092
14.9405	-0.191
14.941	-0.347
14.9415	-0.556
14.942	-0.784
14.9425	-0.974
14.943	-1.078
14.9435	-1.062
14.944	-0.917
14.9445	-0.668
14.945	-0.386
14.9455	-0.124
14.946	0.097
14.9465	0.248
14.947	0.327
14.9475	0.341
14.948	0.306
14.9485	0.241
14.949	0.164
14.9495	0.092
14.95	0.035
14.9505	-0.003
14.951	-0.028
14.9515	-0.047
14.952	-0.067
14.9525	-0.090
14.953	-0.115
14.9535	-0.133
14.954	-0.134
14.9545	-0.122
14.955	-0.106
14.9555	-0.090
14.956	-0.067
14.9565	-0.044
14.957	-0.023
14.9575	-0.009
14.958	-0.009
14.9585	-0.008
14.959	-0.003
14.9595	-0.001
14.96	0.010
14.9605	0.032
14.961	0.065
14.9615	0.100
14.962	0.131
14.9625	0.149
14.963	0.154
14.9635	0.151
14.964	0.144
14.9645	0.135
14.965	0.113
14.9655	0.085
14.966	0.058
14.9665	0.026
14.967	-0.004
14.9675	-0.025
14.968	-0.036
14.9685	-0.039
14.969	-0.039
14.9695	-0.036
14.97	-0.027
14.9705	-0.013
14.971	-0.000
14.9715	0.009
14.972	0.022
14.9725	0.046
14.973	0.080
14.9735	0.115
14.974	0.147
14.9745	0.177
14.975	0.208
14.9755	0.235
14.976	0.257
14.9765	0.274
