Interval=	0.0005 s
ExcelDateTime=	4.5061510865477096e+004	5/15/2023 12:15:38.777221
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1
Range=	10.000 mV
130.369	0.108
130.3695	0.119
130.37	0.145
130.3705	0.186
130.371	0.225
130.3715	0.249
130.372	0.261
130.3725	0.264
130.373	0.249
130.3735	0.209
130.374	0.147
130.3745	0.077
130.375	0.017
130.3755	-0.029
130.376	-0.064
130.3765	-0.098
130.377	-0.115
130.3775	-0.133
130.378	-0.106
130.3785	-0.127
130.379	-0.233
130.3795	-0.222
130.38	-0.170
130.3805	-0.114
130.381	-0.037
130.3815	0.021
130.382	0.074
130.3825	0.111
130.383	0.134
130.3835	0.132
130.384	0.105
130.3845	0.058
130.385	0.007
130.3855	-0.039
130.386	-0.078
130.3865	-0.110
130.387	-0.138
130.3875	-0.153
130.388	-0.145
130.3885	-0.119
130.389	-0.096
130.3895	-0.081
130.39	-0.063
130.3905	-0.028
130.391	0.026
130.3915	0.081
130.392	0.114
130.3925	0.119
130.393	0.099
130.3935	0.058
130.394	-0.004
130.3945	-0.083
130.395	-0.165
130.3955	-0.234
130.396	-0.286
130.3965	-0.332
130.397	-0.361
130.3975	-0.389
130.398	-0.362
130.3985	-0.365
130.399	-0.437
130.3995	-0.387
130.4	-0.300
130.4005	-0.213
130.401	-0.107
130.4015	-0.019
130.402	0.056
130.4025	0.106
130.403	0.143
130.4035	0.164
130.404	0.160
130.4045	0.128
130.405	0.073
130.4055	0.009
130.406	-0.042
130.4065	-0.070
130.407	-0.080
130.4075	-0.082
130.408	-0.074
130.4085	-0.051
130.409	-0.013
130.4095	0.023
130.41	0.049
130.4105	0.077
130.411	0.121
130.4115	0.178
130.412	0.226
130.4125	0.246
130.413	0.237
130.4135	0.212
130.414	0.178
130.4145	0.130
130.415	0.067
130.4155	0.001
130.416	-0.050
130.4165	-0.091
130.417	-0.121
130.4175	-0.168
130.418	-0.176
130.4185	-0.214
130.419	-0.305
130.4195	-0.266
130.42	-0.196
130.4205	-0.139
130.421	-0.068
130.4215	-0.013
130.422	0.034
130.4225	0.062
130.423	0.081
130.4235	0.098
130.424	0.113
130.4245	0.115
130.425	0.085
130.4255	0.006
130.426	-0.123
130.4265	-0.293
130.427	-0.496
130.4275	-0.733
130.428	-0.996
130.4285	-1.249
130.429	-1.427
130.4295	-1.467
130.43	-1.342
130.4305	-1.075
130.431	-0.713
130.4315	-0.314
130.432	0.066
130.4325	0.377
130.433	0.576
130.4335	0.655
130.434	0.643
130.4345	0.579
130.435	0.483
130.4355	0.372
130.436	0.263
130.4365	0.172
130.437	0.125
130.4375	0.092
130.438	0.102
130.4385	0.057
130.439	-0.067
130.4395	-0.058
130.44	-0.004
130.4405	0.046
130.441	0.110
130.4415	0.163
130.442	0.222
130.4425	0.269
130.443	0.297
130.4435	0.297
130.444	0.278
130.4445	0.254
130.445	0.234
130.4455	0.212
130.446	0.179
130.4465	0.142
130.447	0.119
130.4475	0.124
130.448	0.152
130.4485	0.184
130.449	0.216
130.4495	0.254
130.45	0.309
130.4505	0.372
130.451	0.426
130.4515	0.462
130.452	0.486
130.4525	0.506
130.453	0.507
130.4535	0.478
130.454	0.431
130.4545	0.379
130.455	0.331
130.4555	0.282
130.456	0.224
130.4565	0.152
130.457	0.095
130.4575	0.041
130.458	0.032
130.4585	-0.021
130.459	-0.152
130.4595	-0.163
130.46	-0.131
130.4605	-0.099
130.461	-0.055
130.4615	-0.034
130.462	-0.021
130.4625	-0.013
130.463	-0.007
130.4635	-0.010
130.464	-0.030
130.4645	-0.062
130.465	-0.098
130.4655	-0.130
130.466	-0.157
130.4665	-0.182
130.467	-0.205
130.4675	-0.213
130.468	-0.199
130.4685	-0.174
130.469	-0.148
130.4695	-0.121
130.47	-0.084
130.4705	-0.030
130.471	0.036
130.4715	0.099
130.472	0.142
130.4725	0.167
130.473	0.181
130.4735	0.176
130.474	0.144
130.4745	0.090
130.475	0.024
130.4755	-0.042
130.476	-0.110
130.4765	-0.190
130.477	-0.263
130.4775	-0.339
130.478	-0.361
130.4785	-0.412
130.479	-0.523
130.4795	-0.501
130.48	-0.432
130.4805	-0.359
130.481	-0.270
130.4815	-0.207
130.482	-0.160
130.4825	-0.133
130.483	-0.114
130.4835	-0.105
130.484	-0.112
130.4845	-0.136
130.485	-0.169
130.4855	-0.202
130.486	-0.224
130.4865	-0.232
130.487	-0.233
130.4875	-0.229
130.488	-0.210
130.4885	-0.177
130.489	-0.137
130.4895	-0.088
130.49	-0.023
130.4905	0.066
130.491	0.171
130.4915	0.270
130.492	0.346
130.4925	0.398
130.493	0.432
130.4935	0.444
130.494	0.430
130.4945	0.389
130.495	0.329
130.4955	0.268
130.496	0.213
130.4965	0.154
130.497	0.104
130.4975	0.046
130.498	0.036
130.4985	-0.006
130.499	-0.118
130.4995	-0.116
130.5	-0.086
130.5005	-0.064
130.501	-0.028
130.5015	-0.009
130.502	-0.001
130.5025	-0.011
130.503	-0.031
130.5035	-0.056
130.504	-0.090
130.5045	-0.137
130.505	-0.192
130.5055	-0.246
130.506	-0.283
130.5065	-0.294
130.507	-0.294
130.5075	-0.301
130.508	-0.326
130.5085	-0.386
130.509	-0.491
130.5095	-0.655
130.51	-0.864
130.5105	-1.085
130.511	-1.234
130.5115	-1.257
130.512	-1.217
130.5125	-1.037
130.513	-0.722
130.5135	-0.376
130.514	-0.023
130.5145	0.281
130.515	0.503
130.5155	0.631
130.516	0.684
130.5165	0.687
130.517	0.673
130.5175	0.626
130.518	0.595
130.5185	0.511
130.519	0.365
130.5195	0.371
130.52	0.437
130.5205	0.507
130.521	0.603
130.5215	0.695
130.522	0.799
130.5225	0.899
130.523	0.993
130.5235	1.080
130.524	1.162
130.5245	1.234
130.525	1.285
130.5255	1.302
130.526	1.281
130.5265	1.236
130.527	1.191
130.5275	1.157
130.528	1.129
130.5285	1.087
130.529	1.034
130.5295	1.001
130.53	0.960
130.5305	0.902
130.531	0.846
130.5315	0.796
130.532	0.773
130.5325	0.770
130.533	0.767
130.5335	0.755
130.534	0.735
130.5345	0.720
130.535	0.710
130.5355	0.697
130.536	0.671
130.5365	0.641
130.537	0.624
130.5375	0.609
130.538	0.626
130.5385	0.556
130.539	0.442
130.5395	0.450
130.54	0.472
130.5405	0.507
130.541	0.563
130.5415	0.621
130.542	0.694
130.5425	0.766
130.543	0.832
130.5435	0.904
130.544	0.941
130.5445	0.953
130.545	0.970
130.5455	0.970
130.546	0.948
130.5465	0.901
130.547	0.841
130.5475	0.795
130.548	0.763
130.5485	0.728
130.549	0.681
130.5495	0.635
130.55	0.604
130.5505	0.590
130.551	0.580
130.5515	0.563
130.552	0.548
130.5525	0.536
130.553	0.517
130.5535	0.482
130.554	0.433
130.5545	0.386
130.555	0.354
130.5555	0.331
130.556	0.303
130.5565	0.257
130.557	0.219
130.5575	0.174
130.558	0.159
130.5585	0.086
130.559	-0.070
130.5595	-0.108
130.56	-0.098
130.5605	-0.078
130.561	-0.028
130.5615	0.023
130.562	0.088
130.5625	0.155
130.563	0.219
130.5635	0.272
130.564	0.311
130.5645	0.341
130.565	0.368
130.5655	0.393
130.566	0.409
130.5665	0.410
130.567	0.396
130.5675	0.382
130.568	0.375
130.5685	0.364
130.569	0.345
130.5695	0.321
130.57	0.307
130.5705	0.316
130.571	0.337
130.5715	0.354
130.572	0.363
130.5725	0.365
130.573	0.363
130.5735	0.353
130.574	0.332
130.5745	0.301
130.575	0.268
130.5755	0.242
130.576	0.223
130.5765	0.199
130.577	0.182
130.5775	0.155
130.578	0.167
130.5785	0.138
130.579	0.034
130.5795	0.043
130.58	0.083
130.5805	0.119
130.581	0.172
130.5815	0.210
130.582	0.242
130.5825	0.265
130.583	0.289
130.5835	0.309
130.584	0.321
130.5845	0.322
130.585	0.316
130.5855	0.312
130.586	0.311
130.5865	0.309
130.587	0.299
130.5875	0.285
130.588	0.277
130.5885	0.275
130.589	0.263
130.5895	0.216
130.59	0.119
130.5905	-0.026
130.591	-0.217
130.5915	-0.464
130.592	-0.769
130.5925	-1.091
130.593	-1.350
130.5935	-1.478
130.594	-1.447
130.5945	-1.273
130.595	-0.998
130.5955	-0.674
130.596	-0.361
130.5965	-0.114
130.597	0.060
130.5975	0.141
130.598	0.196
130.5985	0.166
130.599	0.032
130.5995	-0.000
130.6	-0.006
130.6005	-0.015
130.601	0.009
130.6015	0.035
130.602	0.070
130.6025	0.107
130.603	0.148
130.6035	0.186
130.604	0.207
130.6045	0.213
130.605	0.221
130.6055	0.230
130.606	0.242
130.6065	0.261
130.607	0.271
130.6075	0.270
130.608	0.270
130.6085	0.282
130.609	0.292
130.6095	0.290
130.61	0.279
130.6105	0.275
130.611	0.295
130.6115	0.336
130.612	0.384
130.6125	0.428
130.613	0.473
130.6135	0.522
130.614	0.563
130.6145	0.584
130.615	0.580
130.6155	0.567
130.616	0.557
130.6165	0.551
130.617	0.546
130.6175	0.515
130.618	0.502
130.6185	0.399
130.619	0.260
130.6195	0.249
130.62	0.238
130.6205	0.233
130.621	0.244
130.6215	0.263
130.622	0.275
130.6225	0.280
130.623	0.317
130.6235	0.333
130.624	0.342
130.6245	0.357
130.625	0.350
130.6255	0.327
130.626	0.295
130.6265	0.272
130.627	0.261
130.6275	0.253
130.628	0.239
130.6285	0.220
130.629	0.214
130.6295	0.225
130.63	0.241
130.6305	0.257
130.631	0.280
130.6315	0.314
130.632	0.355
130.6325	0.385
130.633	0.396
130.6335	0.394
130.634	0.388
130.6345	0.376
130.635	0.350
130.6355	0.316
130.636	0.288
130.6365	0.266
130.637	0.258
130.6375	0.229
130.638	0.214
130.6385	0.132
130.639	-0.032
130.6395	-0.069
130.64	-0.070
130.6405	-0.085
130.641	-0.083
130.6415	-0.084
130.642	-0.070
130.6425	-0.055
130.643	-0.042
130.6435	-0.032
130.644	-0.020
130.6445	-0.005
130.645	0.007
130.6455	0.000
130.646	-0.029
130.6465	-0.061
130.647	-0.076
130.6475	-0.064
130.648	-0.041
130.6485	-0.025
130.649	-0.012
130.6495	0.011
130.65	0.051
130.6505	0.103
130.651	0.158
130.6515	0.214
130.652	0.274
130.6525	0.327
130.653	0.358
130.6535	0.362
130.654	0.348
130.6545	0.329
130.655	0.311
130.6555	0.288
130.656	0.261
130.6565	0.229
130.657	0.217
130.6575	0.197
130.658	0.203
130.6585	0.142
130.659	-0.008
130.6595	-0.036
130.66	-0.025
130.6605	-0.018
130.661	0.005
130.6615	0.021
130.662	0.049
130.6625	0.073
130.663	0.085
130.6635	0.083
130.664	0.072
130.6645	0.062
130.665	0.056
130.6655	0.042
130.666	0.015
130.6665	-0.024
130.667	-0.059
130.6675	-0.075
130.668	-0.077
130.6685	-0.082
130.669	-0.089
130.6695	-0.080
130.67	-0.043
130.6705	0.007
130.671	0.034
130.6715	0.010
130.672	-0.069
130.6725	-0.200
130.673	-0.398
130.6735	-0.660
130.674	-0.942
130.6745	-1.176
130.675	-1.310
130.6755	-1.318
130.676	-1.201
130.6765	-0.981
130.677	-0.692
130.6775	-0.423
130.678	-0.181
130.6785	-0.070
130.679	-0.110
130.6795	-0.073
130.68	-0.037
130.6805	-0.036
130.681	-0.036
130.6815	-0.047
130.682	-0.044
130.6825	-0.039
130.683	-0.033
130.6835	-0.030
130.684	-0.024
130.6845	-0.011
130.685	0.001
130.6855	0.002
130.686	-0.015
130.6865	-0.041
130.687	-0.056
130.6875	-0.046
130.688	-0.018
130.6885	0.005
130.689	0.022
130.6895	0.048
130.69	0.092
130.6905	0.152
130.691	0.217
130.6915	0.286
130.692	0.365
130.6925	0.446
130.693	0.510
130.6935	0.550
130.694	0.570
130.6945	0.580
130.695	0.587
130.6955	0.587
130.696	0.577
130.6965	0.556
130.697	0.542
130.6975	0.515
130.698	0.515
130.6985	0.454
130.699	0.303
130.6995	0.267
130.7	0.274
130.7005	0.283
130.701	0.311
130.7015	0.330
130.702	0.357
130.7025	0.375
130.703	0.374
130.7035	0.353
130.704	0.320
130.7045	0.292
130.705	0.272
130.7055	0.247
130.706	0.210
130.7065	0.159
130.707	0.111
130.7075	0.084
130.708	0.070
130.7085	0.052
130.709	0.033
130.7095	0.031
130.71	0.055
130.7105	0.092
130.711	0.135
130.7115	0.186
130.712	0.251
130.7125	0.322
130.713	0.380
130.7135	0.415
130.714	0.430
130.7145	0.437
130.715	0.436
130.7155	0.422
130.716	0.391
130.7165	0.346
130.717	0.313
130.7175	0.274
130.718	0.267
130.7185	0.200
130.719	0.045
130.7195	0.010
130.72	0.014
130.7205	0.010
130.721	0.018
130.7215	0.012
130.722	0.015
130.7225	0.016
130.723	0.007
130.7235	-0.021
130.724	-0.059
130.7245	-0.098
130.725	-0.126
130.7255	-0.145
130.726	-0.165
130.7265	-0.194
130.727	-0.228
130.7275	-0.246
130.728	-0.244
130.7285	-0.236
130.729	-0.231
130.7295	-0.227
130.73	-0.206
130.7305	-0.156
130.731	-0.088
130.7315	-0.021
130.732	0.040
130.7325	0.098
130.733	0.151
130.7335	0.194
130.734	0.219
130.7345	0.230
130.735	0.234
130.7355	0.235
130.736	0.229
130.7365	0.206
130.737	0.183
130.7375	0.144
130.738	0.140
130.7385	0.084
130.739	-0.057
130.7395	-0.081
130.74	-0.069
130.7405	-0.057
130.741	-0.024
130.7415	-0.003
130.742	0.023
130.7425	0.039
130.743	0.050
130.7435	0.053
130.744	0.042
130.7445	0.020
130.745	-0.010
130.7455	-0.043
130.746	-0.077
130.7465	-0.117
130.747	-0.161
130.7475	-0.194
130.748	-0.207
130.7485	-0.210
130.749	-0.209
130.7495	-0.211
130.75	-0.189
130.7505	-0.152
130.751	-0.128
130.7515	-0.076
130.752	-0.010
130.7525	0.048
130.753	0.090
130.7535	0.081
130.754	-0.004
130.7545	-0.175
130.755	-0.422
130.7555	-0.733
130.756	-1.088
